Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
THE GAZANIA,"1,477,000",635.08,"2,326",03 Jan 2023,5 HOW SUN DRIVE #04-08,New Sale,Strata,59,"25,034",-,Condominium,1,Freehold,2022,Private,538527,19,53,North East Region,Serangoon
A TREASURE TROVE,"1,060,000",775.01,"1,368",03 Jan 2023,76 PUNGGOL WALK #06-54,Resale,Strata,72,"14,722",-,Condominium,1,99 yrs from 09/03/2011,2015,Private,828788,19,82,North East Region,Punggol
RIVERFRONT RESIDENCES,"1,500,000","1,065.64","1,408",03 Jan 2023,49 HOUGANG AVENUE 7 #02-47,Sub Sale,Strata,99,"15,152",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533817,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"1,040,000",850.36,"1,223",03 Jan 2023,78 UPPER SERANGOON VIEW #03-64,Resale,Strata,79,"13,165",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533879,19,53,North East Region,Hougang
HOUGANG GREEN,"900,000","1,162.51",774,03 Jan 2023,5 BUANGKOK GREEN #02-05,Resale,Strata,108,"8,333",-,Apartment,1,99 yrs from 01/12/1994,1998,Private,539748,19,53,North East Region,Hougang
REGENTVILLE,"1,128,000","1,151.75",979,03 Jan 2023,8 HOUGANG STREET 92 #04-08,Resale,Strata,107,"10,542",-,Apartment,1,99 yrs from 24/04/1996,1999,HDB,538686,19,53,North East Region,Hougang
THE SPRINGBLOOM,"1,757,500","1,302.44","1,349",04 Jan 2023,143 SERANGOON AVENUE 3 #14-02,Resale,Strata,121,"14,525",-,Condominium,1,99 yrs from 01/03/1995,1999,Private,556121,19,55,North East Region,Serangoon
RIVER ISLES,"925,888",753.48,"1,229",04 Jan 2023,52 EDGEDALE PLAINS #05-04,Resale,Strata,70,"13,227",-,Condominium,1,99 yrs from 06/02/2012,2015,HDB,828820,19,82,North East Region,Punggol
BARTLEY VUE,"2,508,000","1,356.26","1,849",05 Jan 2023,6 JALAN BUNGA RAMPAI #10-02,New Sale,Strata,126,"19,905",-,Apartment,1,99 yrs from 13/04/2020,Uncompleted,Private,538310,19,53,Central Region,Toa Payoh
GAMBIR RIDGE,"1,190,000",753.48,"1,579",05 Jan 2023,18 GAMBIR WALK #04-10,Resale,Strata,70,"17,000",-,Apartment,1,Freehold,2015,HDB,538982,19,53,North East Region,Serangoon
