MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2000 to Oct 2025


End of Period / SORA Value Date,,,Singapore Overnight Rate Average,SF Borrowing Rate
2005,Jul,01,1.7998,-
,,04,1.7480,-
,,05,1.7686,-
,,06,1.7971,-
,,07,1.7956,-
,,08,1.7851,-
,,11,1.7279,-
,,12,1.7292,-
,,13,1.6997,-
,,14,1.7127,-
,,15,1.7286,-
,,18,1.7137,-
,,19,1.7475,-
,,20,1.7688,-
,,21,1.8009,-
,,22,1.7898,-
,,25,1.7729,-
,,26,1.7572,-
,,27,1.7766,-
,,28,1.7625,-
,,29,1.7712,-
,Aug,01,1.7573,-
,,02,1.7507,-
,,03,1.7437,-
,,04,1.7704,-
,,05,1.7661,-
,,08,1.7582,-
,,10,1.7763,-
,,11,1.7090,-
,,12,1.7359,-
,,15,1.7371,-
,,16,1.7355,-
,,17,1.6767,-
,,18,1.7014,-
,,19,1.7516,-
,,22,1.7840,-
,,23,1.9117,-
,,24,1.9255,-
,,25,1.7456,-
,,26,1.7625,-
,,29,1.8225,-
,,30,1.9267,-
,,31,1.9718,-
,Sep,01,1.9549,-
,,02,1.9437,-
,,05,1.9482,-
,,06,2.0231,-
,,07,2.0769,-
,,08,1.9136,-
,,09,1.9426,-
,,12,2.0026,-
,,13,2.1005,-
,,14,2.0975,-
,,15,2.1996,-
,,16,2.2045,-
,,19,2.1220,-
,,20,2.1736,-
,,21,2.2383,-
,,22,2.2811,-
,,23,2.3463,-
,,26,2.2888,-
,,27,2.2905,-
,,28,2.2450,-
,,29,2.2457,-
,,30,2.2293,-
,Oct,03,2.1127,-
,,04,2.0804,-
,,05,2.0212,-
,,06,2.0748,-
,,07,2.1100,-
,,10,2.1390,-
,,11,2.2210,-
,,12,2.2918,-
,,13,2.2508,-
,,14,2.1881,-
,,17,2.1717,-
,,18,2.1015,-
,,19,2.1170,-
,,20,2.1221,-
,,21,2.0980,-
,,24,2.1281,-
,,25,2.1729,-
,,26,2.2345,-
,,27,2.2803,-
,,28,2.3251,-
,,31,2.5551,-
,Nov,02,2.4839,-
,,04,2.5598,-
,,07,2.5800,-
,,08,2.5711,-
,,09,2.6267,-
,,10,2.6622,-
,,11,2.7717,-
,,14,2.7140,-
,,15,2.6832,-
,,16,2.5748,-
,,17,2.6140,-
,,18,2.6646,-
,,21,2.7549,-
,,22,2.7888,-
,,23,2.5405,-
,,24,2.9192,-
,,25,2.7307,-
,,28,2.7185,-
,,29,2.6608,-
,,30,2.8966,-
,Dec,01,2.9236,-
,,02,2.7600,-
,,05,2.6757,-
,,06,2.5835,-
,,07,2.4154,-
,,08,2.6131,-
,,09,2.7719,-
,,12,2.7201,-
,,13,2.5965,-
,,14,2.7990,-
,,15,3.4659,-
,,16,3.3999,-
,,19,3.2134,-
,,20,2.8669,-
,,21,2.6939,-
,,22,2.8299,-
,,23,2.8771,-
,,27,2.7700,-
,,28,2.9352,-
,,29,2.9036,-
,,30,3.7755,-


End of Period / SORA Value Date,,,Singapore Overnight Rate Average,SF Borrowing Rate
2006,Jan,03,3.1885,-
,,04,3.5468,-
,,05,3.4750,-
,,06,3.0801,-
,,09,2.9060,-
,,11,3.0986,-
,,12,3.3281,-
,,13,3.3249,-
,,16,3.0105,-
,,17,3.1667,-
,,18,3.1131,-
,,19,3.2044,-
,,20,3.1510,-
,,23,3.1155,-
,,24,2.9098,-
,,25,2.8898,-
,,26,3.0182,-
,,27,3.6060,-
,Feb,01,3.4386,-
,,02,3.5541,-
,,03,3.5051,-
,,06,3.5395,-
,,07,3.4016,-
,,08,3.0374,-
,,09,2.6593,-
,,10,2.7431,-
,,13,2.5628,-
,,14,2.1267,-
,,15,1.2181,-
,,16,2.7975,-
,,17,3.1073,-
,,20,3.1117,-
,,21,3.2628,-
,,22,3.2529,-
,,23,3.2830,-
,,24,3.2046,-
,,27,3.2239,-
,,28,3.2955,-
,Mar,01,3.2346,-
,,02,3.2600,-
,,03,3.2514,-
,,06,3.2358,-
,,07,3.1483,-
,,08,3.1567,-
,,09,3.1998,-
,,10,3.2077,-
,,13,3.2641,-
,,14,3.2018,-
,,15,3.1904,-
,,16,3.2276,-
,,17,3.2299,-
,,20,3.1631,-
,,21,3.0864,-
,,22,3.1715,-
,,23,3.1645,-
,,24,3.2517,-
,,27,3.2352,-
,,28,3.2050,-
,,29,2.7648,-
,,30,2.9968,-
,,31,3.2054,-
,Apr,03,3.2243,-
,,04,3.1695,-
,,05,3.0961,-
,,06,2.9340,-
,,07,3.0613,-
,,10,3.0925,-
,,11,3.1143,-
,,12,3.1210,-
,,13,3.1027,-
,,17,3.0038,-
,,18,2.9481,-
,,19,2.9509,-
,,20,2.9546,-
,,21,2.9643,-
,,24,2.9774,-
,,25,3.0759,-
,,26,3.0957,-
,,27,3.2451,-
,,28,3.2377,-
,May,02,3.2041,-
,,03,3.0867,-
,,04,3.1049,-
,,05,3.1387,-
,,08,3.0107,-
,,09,2.9039,-
,,10,3.0011,-
,,11,3.0813,-
,,15,3.0294,-
,,16,3.0148,-
,,17,2.9865,-
,,18,2.9974,-
,,19,2.9630,-
,,22,2.8976,-
,,23,2.8401,-
,,24,2.8323,-
,,25,3.1337,-
,,26,3.1724,-
,,29,2.9495,-
,,30,2.9633,-
,,31,3.1525,-
,Jun,01,3.1935,3.73
,,02,3.2899,3.73
,,05,3.2419,3.82
,,06,3.1614,3.83
,,07,3.2109,3.81
,,08,3.1153,3.79
,,09,3.1023,3.68
,,12,3.0594,3.69
,,13,3.1152,3.66
,,14,3.1302,3.69
,,15,3.2822,3.87
,,16,3.3830,3.88
,,19,3.3519,3.83
,,20,3.3458,3.93
,,21,3.2789,3.86
,,22,3.2975,3.82
,,23,3.3143,3.89
,,26,3.2403,3.82
,,27,3.2816,3.84
,,28,3.3066,3.88
,,29,3.3862,3.95
,,30,3.3234,3.90
,Jul,03,3.2474,3.85
,,04,3.0500,3.74
